launch_id,mission_name,launch_year,date,success,failure_reason
1,FalconSat,2006,2006-03-24T22:30:00.000Z,False,merlin engine failure
2,DemoSat,2007,2007-03-21T01:10:00.000Z,False,harmonic oscillation leading to premature engine shutdown
3,Trailblazer,2008,2008-08-03T03:34:00.000Z,False,residual stage-1 thrust led to collision between stage 1 and stage 2
4,RatSat,2008,2008-09-28T23:15:00.000Z,True,Not Applicable
5,RazakSat,2009,2009-07-13T03:35:00.000Z,True,Not Applicable
6,Falcon 9 Test Flight,2010,2010-06-04T18:45:00.000Z,True,Not Applicable
7,COTS 1,2010,2010-12-08T15:43:00.000Z,True,Not Applicable
8,COTS 2,2012,2012-05-22T07:44:00.000Z,True,Not Applicable
9,CRS-1,2012,2012-10-08T00:35:00.000Z,True,Not Applicable
10,CRS-2,2013,2013-03-01T19:10:00.000Z,True,Not Applicable
11,CASSIOPE,2013,2013-09-29T16:00:00.000Z,True,Not Applicable
12,SES-8,2013,2013-12-03T22:41:00.000Z,True,Not Applicable
13,Thaicom 6,2014,2014-01-06T18:06:00.000Z,True,Not Applicable
14,CRS-3,2014,2014-04-18T19:25:00.000Z,True,Not Applicable
15,OG-2 Mission 1,2014,2014-07-14T15:15:00.000Z,True,Not Applicable
16,AsiaSat 8,2014,2014-08-05T08:00:00.000Z,True,Not Applicable
17,AsiaSat 6,2014,2014-09-07T05:00:00.000Z,True,Not Applicable
18,CRS-4,2014,2014-09-21T05:52:00.000Z,True,Not Applicable
19,CRS-5,2015,2015-01-10T09:47:00.000Z,True,Not Applicable
20,DSCOVR,2015,2015-02-11T23:03:00.000Z,True,Not Applicable
21,ABS-3A / Eutelsat 115W B,2015,2015-03-02T03:50:00.000Z,True,Not Applicable
22,CRS-6,2015,2015-04-14T20:10:00.000Z,True,Not Applicable
23,TürkmenÄlem 52°E / MonacoSAT,2015,2015-04-27T23:03:00.000Z,True,Not Applicable
24,CRS-7,2015,2015-06-28T14:21:00.000Z,False,helium tank overpressure lead to the second stage LOX tank explosion
25,OG-2 Mission 2,2015,2015-12-22T01:29:00.000Z,True,Not Applicable
26,Jason 3,2016,2016-01-17T15:42:00.000Z,True,Not Applicable
27,SES-9,2016,2016-03-04T23:35:00.000Z,True,Not Applicable
28,CRS-8,2016,2016-04-08T20:43:00.000Z,True,Not Applicable
29,JCSAT-2B,2016,2016-05-06T05:21:00.000Z,True,Not Applicable
30,Thaicom 8,2016,2016-05-27T21:39:00.000Z,True,Not Applicable
31,ABS-2A / Eutelsat 117W B,2016,2016-06-15T14:29:00.000Z,True,Not Applicable
32,CRS-9,2016,2016-07-18T04:45:00.000Z,True,Not Applicable
33,JCSAT-16,2016,2016-08-14T05:26:00.000Z,True,Not Applicable
34,Amos-6,2016,2016-09-01T13:07:00.000Z,False,"buckled liner in several of the COPV tanks, causing perforations that allowed liquid and/or solid oxygen to accumulate underneath the lining, which was ignited by friction."
35,Iridium NEXT Mission 1,2017,2017-01-14T17:54:00.000Z,True,Not Applicable
36,CRS-10,2017,2017-02-19T14:39:00.000Z,True,Not Applicable
37,EchoStar 23,2017,2017-03-16T06:00:00.000Z,True,Not Applicable
38,SES-10,2017,2017-03-30T22:27:00.000Z,True,Not Applicable
39,NROL-76,2017,2017-05-01T11:15:00.000Z,True,Not Applicable
40,Inmarsat-5 F4,2017,2017-05-15T23:21:00.000Z,True,Not Applicable
41,CRS-11,2017,2017-06-03T21:07:00.000Z,True,Not Applicable
42,BulgariaSat-1,2017,2017-06-23T19:10:00.000Z,True,Not Applicable
